Name,Historical Significance,Marital Status,Sex,Birthdate,Deathdate,Date of Appraisal ,Appraiser 1,Appraiser 2,Appraiser 3,Notary,Inventory Purpose,Religion,Nationality,Number of Items,Montias INVNO,Montias INVNO 2,Number of Paintings,Portraits,Rembrandt,Mythology,Still Life,Tapestry,Rariteiten,Textiles,Rubens
Gerrit Jacobsz. Haringh,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Jacomo Noirot,Art Dealer,,Male,,,1638/12/07,,Neltgen Jacobs,Engel Jacobs,Jacob Jacobsz.,,,,17,Y,227,12,Y,,Y,,,,,
Daniel Noirot,,,Male,,,,,,,,,,,,,,,,,,,,,,
Issac Noirot,,,Male,,,,,,,,,,,,,,,,,,,,,,
Lucas van Uffelen,,,Male,1586,1638,,,,,,,,,,,,,,,,,,,,
Jacomo (Jacques) van Uffelen,Merchant,,Male,1590,1640,,,,,,,,,,,,,,,,,,,,
Cathaline Noirot,,,Female,,,,,,,,,,,,,,,,,,,,,,
Adriaen de Grebber,Goldsmith,,Male,,,,,,,,,,,,,,,,,,,,,,
Adriaen Noirot II,,,Male,,,,,,,,,,,,,,,,,,,,,,
Adriaen Noirot I,Merchant,,Male,,,,,,,,,,,,,,,,,,,,,,
Elisabeth de Wilhem,,,Female,,,,,,,,,,,,,,,,,,,,,,
Christiaen de Wilhem,,,Male,,,,,,,,,,,,,,,,,,,,,,
Paolo de Wilhem I,,,Male,,,,,,,,,,,,,,,,,,,,,,
Paolo de Wilhem II,,,Male,,,,,,,,,,,,,,,,,,,,,,
Susanna de Wilhem,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jacob Noirot,,,Male,,,,,,,,,,,,,,,,,,,,,,
Gerrit Claes,,,Male,,,,,,,,,,,,,,,,,,,,,,
Neltgen Jacobs,,,Female,,,,,,,,,,,,,,,,,,,,,,
Engel Jacobs,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jacob Crisp (James Crispe),Merchant's Employee,,Male,,,1628/04/08,,,,Jan Oli,,,,20,Y,228,16,Y,,Y,Y,,,Y,
Claas Pietersz. Seebock (Zeebeck or Zeebeke or Zeebock),,,Male,,,1628/04/08,,,,Jan Oli,,,,20,Y,228,16,Y,,Y,Y,,,Y,
Jan Oli,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter van Zeebeke,,,Male,,,,,,,,,,,,,,,,,,,,,,
Lisbet Tijmens,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jan Jacobsz. van Honthorst,,,Male,,,,,,,,,,,,,,,,,,,,,,
Maijken Herts,,,Female,,,,,,,,,,,,,,,,,,,,,,
Aaltje Pieters Zeebeck,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jacob Stevensz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Anneke Everts,,,Female,,,,,,,,,,,,,,,,,,,,,,
Rebecca Baerle,,,Female,,,,,,,,,,,,,,,,,,,,,,
Graia Steyns,,,Female,,,,,,,,,,,,,,,,,,,,,,
Joseph Steyns,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Joseph Crisp,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hans de l' Hommel II,Manufacturer,M,Male,,,1632/03/02,,,,S. Ruttens,Death,Calvinist?,Flemish,33,Y,230,28,Y,,Y,Y,,,,
Judith Cobbault,,W,Female,,,1632/03/02,,,,S. Ruttens,Death,Calvinist?,Flemish,33,Y,230,28,Y,,Y,Y,,,,
S. Ruttens,Notary,,,,,,,,,,,,,,,,,,,,,,,,
Hans de l' Hommel I,,,Male,,,,,,,,,,,,,,,,,,,,,,
Govert van Arckel,,,Male,,,,,,,,,,,,,,,,,,,,,,
Godefridt van Erckel,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hans Vredemans de Vries,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Arnout Cobbaut II,Merchant,M,Male,1555,1634,1635/06/15,,,,Jan Warnaerts,Death,Reformed,Flemish,50,Y,1132,48,Y,,Y,,,,,
Anna van Valckenburg,,M,Female,,,,,,,Jan Warnaerts,Death,Reformed,Flemish,50,Y,1132,48,Y,,Y,,,,,
Arnout Cobbaut I,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan van Valckenburg,,,Male,,,,,,,,,,,,,,,,,,,,,,
Anna Cruijpenninck,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jan Benninck Koeckebacker,,,Male,,,,,,,,,,,,,,,,,,,,,,
Sara Cobbaut,,,Female,,,,,,,,,,,,,,,,,,,,,,
Balthasar Visscher,,,Male,,,,,,,,,,,,,,,,,,,,,,
Susanna Cobbaut,,,Female,,,,,,,,,,,,,,,,,,,,,,
Pieter Stas,,,Male,,,,,,,,,,,,,,,,,,,,,,
Anna Cobbaut,,,Female,,,,,,,,,,,,,,,,,,,,,,
Michiel van Verbeecke,,,Male,,,,,,,,,,,,,,,,,,,,,,
Toussain Blanche,,,Male,,,,,,,,,,,,,,,,,,,,,,
Gillis Cobbaut,Innocent,,Male,,,,,,,,,,,,,,,,,,,,,,
Wouter van der Poort,,,Male,,,,,,,,,,,,,,,,,,,,,,
Lenart Ranst,Merchant,,Male,,,,,,,,,,,,,,,,,,,,,,
Jean de l'Hommel,,,Male,,,,,,,,,,,,,,,,,,,,,,
Elisabeth van Valckenburg,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jan Warnaerts,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Jacob Cats,Poet,,Male,,,,,,,,,,,,,,,,,,,,,,
Claes Rauwart (Nicles Rauwart Jacobszoon),,M,Male,1564,1612,1612/08/28,,,,Gerrit Jacobsz. Haringh,Auction,Roman Catholic,,697,Y,605,467,Y,,Y,Y,,,,
Baartje Willemsdr,,M,Female,,,,,,,,,,,,,,,,,,,,,,
Willem Willemsz. Arnelandt,Soap Boiler,,Male,,,,,,,,,,,,,,,,,,,,,,
Nelletgen Barthouts Beynsdorp,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jacob Rauwart,Collector,,Male,,,,,,,,,,,,,,,,,,,,,,
Carel van Mander,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Maria Rauwart,Spinster,,Female,,,,,,,,,,,,,,,,,,,,,,
Agnieta Rauwart,,,Female,1556,,,,,,,,,,,,,,,,,,,,,
Gerrit Govertsz. Souburch,Old Schepen,,Male,,1621,,,,,,,,,,,,,,,,,,,,
Brigitta (Brechtegen) Rauwart,,,Female,,,,,,,,,,,,,,,,,,,,,,
Joost Gerritsz. Van Duyvenlant,,,Male,,,,,,,,,,,,,,,,,,,,,,
Cornelis van Ijssell,Heer,,Male,,,,,,,,,,,,,,,,,,,,,,
Cornelia van Duyvenlant,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jan Buytewegh,Heer,,Male,,,,,,,,,,,,,,,,,,,,,,
Maria Thins,,,Female,,,,,,,,,,,,,,,,,,,,,,
Johannes Vermeer,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Bartholomeus Moor I,,,Male,1573,,,,,,,,,Flemish,,,21230,,,,,,,,,
Joost van Beck I,Merchant,,Male,,,,,,,,,,Flemish,,,,,,,,,,,,
Catalijne Symons,,,Female,,,,,,,,,,,,,,,,,,,,,,
Marie Niquet,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jan Niquet,,,Male,,,,,,,,,,,,,,,,,,,,,,
Margerite Bosmans,,,Female,,,,,,,,,,,,Y,539,,,,,,,,,
Jan Heijckes,,,Male,,,,,,,,,,,,,,,,,,,,,,
Susanna Moor,,,Female,1608,,,,,,,,,,,,,,,,,,,,,
Henry de Pickere,,,Male,1585,,,,,,,,,,,,,,,,,,,,,
Margareta van der Bruggen,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jeronimus Coymans II,,,Male,,1583,,,,,,,,,,,,,,,,,,,,
Laurens Reael,,,Male,,,,,,,,,,,,,,,,,,,,,,
Catharina Moor,,,Female,,,,,,,,,,,,,,,,,,,,,,
Daniel Bernard,,,Male,,,,,,,,,,,,,,,,,,,,,,
Cathalijne van Leijden,,,Female,,,,,,,,,,Flemish,,,,,,,,,,,,
Pieter van Leijden I,Merchant,,Male,,,,,,,,,,Flemish,,,,,,,,,,,,
Pieter van Leijden II,,,Male,1577,1631,,,,,,,,Flemish,,,,,,,,,,,,
Sara Nicquet,,,Female,,,,,,,,,,,,,,,,,,,,,,
Dominius van Heemskerk,,,Male,,,,,,,,,,,,,,,,,,,,,,
Bonaventuer Broen,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan Moonincx,,,Male,,,,,,,,,,,,,,,,,,,,,,
Isaack van Beeck,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan Egbertsz. Bisschop,,,Male,,,,,,,,,,,,,,,,,,,,,,
Rem Egbertsz. Bisschop,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hendrick Broen,,,Male,,,,,,,,,,,,,,,,,,,,,,
Bartholomeus Moor II,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan Schrijver,Burgomaster,,Male,,,,,,,,,,,,,,,,,,,,,,
Marcus van Vackenburch,,,Male,,,,,,,,,,,,,,,,,,,,,,
Arnout Cobbaut III,,M,Male,,1616,1616/08/20,,,,Sybrand Cornelisz.,Death,Reformed,Flemish ,18,Y,542,13,Y,,,Y,,,,
Nicolaes (Jansz.) Wassenaer,Liberal Profession,M,Male,1571,1629,1630/01/08,,,,Jacob van Zwieten,Death,Reformed,,31,Y,260,27,Y,,Y,,,Y,,
Johannes Claessen van Wassenaer,Teacher,,Male,,,,,,,,,,,,,,,,,,,,,,
Neeltgen Gerrits Dirckszdr. Buytewech,,,Female,,,,,,,,,,,,,,,,,,,,,,
Leyden Jan Gerritsz. Buytewech,,,Male,,,,,,,,,,,,,,,,,,,,,,
Griet Jacobsdr.,,,Female,,,,,,,,,,,,,,,,,,,,,,
Hendrick Persijn,,,Male,,,,,,,,,,,,,,,,,,,,,,
Barent Lampe,,,Male,,,,,,,,,,,,,,,,,,,,,,
Machtelgen van Wassenaer,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jacob van Zwieten,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Sybrand Cornelisz.,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Jacob Barthoomeus van Ter Heyde (Jacob van der Heyde),Merchant,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan Jansz. Wassenaer,Banker,,Male,,,,,,,,,,,,,,,,,,,,,,
Machteltge Jans,,,Female,,,,,,,,,,,,,,,,,,,,,,
Johannes Wassenaer,,,Male,,,,,,,,,,,,,,,,,,,,,,
Michael Poppen,,,Male,,,,,,,,,,,,,,,,,,,,,,
Maria Poppen,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jan Arentsz. Van Naerden,Merchant,U,Male,1573,1637,1637/12/11,Lucas Luce,Hendrick Uylenburgh,,Laurens Lamberti,Death,Roman Catholic,,137,Y,266,132,Y,,Y,Y,,,,
Nicolaes van Setterich,,,Male,,,,,,,,,,,,,,,,,,,,,,
Martin Papenbroeck,,,Male,,,,,,,,,,,,,,,,,,,,,,
Isaac van Halmael,,,Male,,,,,,,,,,,,,,,,,,,,,,
Abraham Halmael,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hans Dircx Can,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hans aux Brebis,,,Male,,,,,,,,,,,,,,,,,,,,,,
Gerard Kuysten,,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter Pietersz. Can,,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter van Bambeeck,,,Male,,,,,,,,,,,,,,,,,,,,,,
Nicolaes van Bambeeck,,,Male,,,,,,,,,,,,,,,,,,,,,,
Cornelis van Bambeeck,,,Male,,,,,,,,,,,,,,,,,,,,,,
Nicolaas van Bambeeck I,,,Male,,,,,,,,,,,,,,,,,,,,,,
Elisabeth Cornelis van der Belle,,,Female,,,,,,,,,,,,,,,,,,,,,,
Elias Herckmes,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan de Bruijn (van Berendrecht),,,Male,,,,,,,,,,,,,,,,,,,,,,
Dirck Jansz. Van Dorsten,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jacob Jansz. Van Dorsten,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Melis Willemsz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Claes Arentsz. van Naerden,Merchant,,Male,,,,,,,,,,,,,,,,,,,,,,
Matheus van Dorsten,,,Male,,,,,,,,,,,,,,,,,,,,,,
Geertruyt van Gherwen,,,Female,,,,,,,,,,,,,,,,,,,,,,
Aaltje Jonckheijn,,,Female,,,,,,,,,,,,,,,,,,,,,,
Reynier van Gherwen,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan Arentsz. Delff,Merchant,M,Male,1598,1637,1637/06/12,Frederick Vroom,Pieter Codde,,Laurens Lamberti,Death,Reformed,Dutch,74,Y,269,61,Y,,Y,Y,,,,
Brechtge Arians (Ariaens),,W,Female,,,1637/06/12,Frederick Vroom,Pieter Codde,,Laurens Lamberti,Death,Reformed,Dutch,74,Y,269,61,Y,,Y,Y,,,,
Frederick Vroom,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter Codde,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Zacharias Lambertsz. Paspoort,,,Male,,,,,,,,,,,,,,,,,,,,,,
Adriana Coolhaes (Cools),,,Female,,,,,,,,,,,,,,,,,,,,,,
Elbert Sijmonsz. Jonckheijn,,,Male,,,,,,,,,,,,,,,,,,,,,,
Aeltge Hermans,,,Female,,,,,,,,,,,,,,,,,,,,,,
Abel Andriesz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Arent Hendricksz. Vapour,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hendrick Arentsz. Vapour,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Hendrick de Slange,,,Male,,,,,,,,,,,,,,,,,,,,,,
David Jansz. Ijpelaer,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hendrick Swart,Burgomaster,,Male,,,,,,,,,,,,,,,,,,,,,,
Gabriel IJpelaer,,,Male,,,,,,,,,,,,,,,,,,,,,,
Paul IJpelaer,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jaspar IJpelaer,,,Male,,,,,,,,,,,,,,,,,,,,,,
Claes Arentsz. Delff,,,Male,,,,,,,,,,,,,,,,,,,,,,
Lyntgen Ariaens,,,Female,,,,,,,,,,,,,,,,,,,,,,
Hans Koijmans II,Merchant,M,Male,,,1638/01/12,,,,P. Carelsz.,Death,,,23,Y,272,22,Y,,Y,Y,,,,
P. Carelsz.,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Hans Koijmans I (Coijmans),,,Male,,,,,,,,,,,,,,,,,,,,,,
Moertie Henrix,,,Female,,,,,,,,,,,,,,,,,,,,,,
Magdalen Koijmans,,,Female,,,,,,,,,,,,,,,,,,,,,,
Annetje Gerdings,,,Female,,,,,,,,,,,,,,,,,,,,,,
Joannes Koijmans II,,,Male,,,,,,,,,,,,,,,,,,,,,,
Lysbeth van der Heijde,,,Female,,,,,,,,,,,,,,,,,,,,,,
Johan van Geel,,,Male,,,,,,,,,,,,,,,,,,,,,,
Maria Coymans,,,Female,,,,,,,,,,,,,,,,,,,,,,
Hans van Geel,,,Male,,,,,,,,,,,,,,,,,,,,,,
Maria van Erp,,,Female,,,,,,,,,,,,,,,,,,,,,,
Susanna de Haze,,,Female,,,,,,,,,,,,,,,,,,,,,,
Hendrick de Haze,,,Male,,,,,,,,,,,,,,,,,,,,,,
Clara Coymans,,,Female,,,,,,,,,,,,,,,,,,,,,,
Maria Coijmans,,,Female,,,,,,,,,,,,,,,,,,,,,,
Grietje Cornelis,,W,Female,,,1638/01/01,,,,Laurens Lamberti,Death,,Dutch,11,Y,274,8,Y,,,,,,,
Domnicus Elbertsz. (Boele),,M,Male,,,,,,,,,,Dutch,,,,,,,,,,,,
Arendt Cornelisz. ,,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter Jansz. Swaarooch,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jonas Cornelisz. Witsen,,,Male,,,,,,,,,,,,,,,,,,,,,,
Cornelis Aertsz.,Merchant,M,Male,,,1638/05/07,,,,Laurens Lamberti,Death,,,69,Y,275,62,Y,Y,Y,Y,,,,
Leendert Cornelisz. Van Beyeren,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Mayke (Bayken) Lenaerts Burchmans,,M,Female,,,,,,,,,,,,,,,,,,,,,,
Trijntje Artus,,M,Female,,,,,,,,,,,,,,,,,,,,,,
Jan Pynas,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Aert van Beyeren,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Neeltgen van Beyeren,,,Female,,,,,,,,,,,,,,,,,,,,,,
Bayken van Beyeren,,,Female,,,,,,,,,,,,,,,,,,,,,,
Balthasar van Beyeren,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Abraham Jacobsz. Greven,,,Male,,,,,,,,,,,,,,,,,,,,,,
Grietje Jans,,W,Female,,,1638/11/18,,,,Laurens Lamberti,Death,Roman Catholic,,32,Y,276,19,Y,,Y,Y,,,,
Dirck Gerritsz. Ritser,Merchant,M,Male,,,,,,,,,,,,,,,,,,,,,,
Willem Jansz.,Merchant,W,Male,,,1633/09/28,,,,Laurens Lamberti,Prenuptial,,,65,Y,277,58,Y,,Y,,,,,
Neeltge Jacobs,,M,Female,,,1633/09/28,,,,Laurens Lamberti,Prenuptial,,,65,Y,277,58,Y,,Y,,,,,
Abraham Ostens,,,Male,,,,,,,,,,,,,,,,,,,,,,
Mary Jacobs,,W,Female,1588,1630,1630/09/30,,,,Laurens Lamberti,Death,Roman Catholic,,55,Y,278,45,Y,,Y,Y,,,,
Jan Claesz. Hollesloot,Merchant,M,Male,1588,,,,,,,,Roman Catholic,,,,,,,,,,,,,
Andries Hollesloot,,,Male,,,,,,,,,,,,,,,,,,,,,,
Lysbeth Claes Hollesloot,,,Female,,,,,,,,,,,,,,,,,,,,,,
Meynert Jansz.,Taxmaster,,Male,,,,,,,,,,,,,,,,,,,,,,
Willem van Hasdonck,,,Male,,,,,,,,,,,,,,,,,,,,,,
Sebastian Dudok van Heel,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jacob Pietersz. Codde,,,Male,,,,,,,,,,,,,,,,,,,,,,
Cornelis Dankertsz.,Mason,,Male,,,,,,,,,,,,,,,,,,,,,,
Claes Andriaensz. Van Delft,Mason,,Male,,,,,,,,,,,,,,,,,,,,,,
Dirck Ariaensz. Van Delft,,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter Ariaensz. Van Delft,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Hendrick de Keyser,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Jacomijntje Pieters,,,Female,,,,,,,,,,,,,,,,,,,,,,
Cornelis van der Blocke,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Jacob Hollesloot,,,Male,,,,,,,,,,,,,,,,,,,,,,
Aef (Eva) Plemp,,,Female,,,,,,,,,,,,,,,,,,,,,,
Cornelis Gysbrechtsz. Plemp,,,Male,,,,,,,,,,,,,,,,,,,,,,
Grietje Gerrits,,M,Female,,,1630/12/05,,,,Laurens Lamberti,Death,,,43,Y,279,35,Y,,,Y,,,,
Jan Jansz. Cranenburch,Baker,M,Male,,,1630/12/05,,,,Laurens Lamberti,Death,,,43,Y,279,35,Y,,,Y,,,,
Abram Maes,,M,Male,,,,,,,,,,,,,,,,,,,,,,
Jan Maes Abrahamsz.,Baker,,Male,,,,,,,,,,,,,,,,,,,,,,
Annetge Maes Abrahams,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jan Verstegen,,,Male,,,,,,,,,,,,,,,,,,,,,,
Gerard Verstegen,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jannetje Verstege,,,Female,,,,,,,,,,,,,,,,,,,,,,
Laurentius van den Bogaert,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan van Hensbergen,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan Gerritsz.,Glass Engraver,,Male,,,,,,,,,,,,,,,,,,,,,,
Annetje van der Meer,,,Female,,,,,,,,,,,,,,,,,,,,,,
Adriaen Maes,,,Male,,,,,,,,,,,,,,,,,,,,,,
Anthoni Coleur,Teacher,M,Male,1589,1633,1636/12/16,,,,Jacob Westfrisius,Death,Calvinist,,20,Y,297,17,Y,,,Y,,,,
Belytge Barens,,M,Female,,,1636/12/16,,,,Jacob Westfrisius,Death,Calvinist,,20,Y,297,17,Y,,,Y,,,,
Pietertge Ghysbertsdr,,M,Female,,,,,,,,,,,,,,,,,,,,,,
Machtlelt Jans,,,Female,,,,,,,,,,,,,,,,,,,,,,
Barent Gerritsz. Brincker,,,Male,,,,,,,,,,,,,,,,,,,,,,
Egbert Gerritsz.,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Harmen Jacobsz. Karreman,,,Male,,,,,,,,,,,,,,,,,,,,,,
Judith Jans,Baker,W,Female,1583,1638,1638/11/05,,,,Jacob Westfrisius,Death,Calvinist,,28,Y,298,28,Y,,Y,Y,,,,
Michiel Perseijn (Persoij),Cook,M,Male,1577,1635,,,,,,Death,Calvinist,,,,,,,,,,,,,
Francijn Persijn,,,Female,,,,,,,,,,,,,,,,,,,,,,
Michiel Perseijn (Persoij) II,,,Male,,,,,,,,,,,,,,,,,,,,,,
Isaac Punile,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jenne de Morge,,,Female,,,,,,,,,,,,,,,,,,,,,,
Marije Persijn,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jerosme (Jeronimo) Hostier,,,Male,,,,,,,,,,,,,,,,,,,,,,
Caterine Giart,,,Female,,,,,,,,,,,,,,,,,,,,,,
Griet Jans,,,Female,,,,,,,,,,,,,,,,,,,,,,
Elsgen Jans,,,Female,,,,,,,,,,,,,,,,,,,,,,
Pelgrum van Hooft,,,Male,,,,,,,,,,,,,,,,,,,,,,
Sara Perseijn,,,Female,,,,,,,,,,,,,,,,,,,,,,
Pietie Perseijn,,,Female,,,,,,,,,,,,,,,,,,,,,,
Elisabeth van Diemen,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jochem van Dien (or Diemen),,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter Persoy,Cook,,Male,,,,,,,,,,,,,,,,,,,,,,
Jannetje (Judith) Persoij,,,Female,,,,,,,,,,,,,,,,,,,,,,
Pieter Danielsz. Plantius,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hendrick van Rossum,,,Male,,,,,,,,,,,,,,,,,,,,,,
Philip Bartelsz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan Jansz. Somer,,,Male,,,,,,,,,,,,,,,,,,,,,,
Lambert Lucas Raningh,,,Male,,,,,,,,,,,,,,,,,,,,,,
Job Teunis,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hans Meus,,,Male,,,,,,,,,,,,,,,,,,,,,,
Laurens Meus,Textile Manufacturer,,Male,,,,,,,,,,,,,,,,,,,,,,
Harmen Hendricksz.,Tailor,,Male,,,,,,,,,,,,,,,,,,,,,,
Albert Tiason,Merchant,M,Male,1590,1636,1634/09/09,,,,Jacob Westfrisius,Execution of Court Sentence,Mennonite,,21,Y,299,19,Y,,,,,,,
Paschina van der Straten,,M,Female,,,,,,,,,,,,,,,,,,,,,,
Roelandt van der Perre,Administrator of the Compagnie der Duijtsche pampieren,,Male,,,,,,,,,,,,,,,,,,,,,,
Balthasar van der Perre,,,Male,,,,,,,,,,,,,,,,,,,,,,
Philips van Kazele,,,Male,,,,,,,,,,,,,,,,,,,,,,
P.C. Hooft,Poet,,Male,,,,,,,,,,,,,,,,,,,,,,
Anna van den Strate,Spinster,,Female,,,,,,,,,,,,,,,,,,,,,,
Franchoys van der Strate,,,Female,,,,,,,,,,,,,,,,,,,,,,
Maycken Jans van Noucken (?),,,Female,,,,,,,,,,,,,,,,,,,,,,
David van der Straten,,,Male,,,,,,,,,,,,,,,,,,,,,,
Samuel Sautijn,Merchant,,Male,,,,,,,,,,,,,,,,,,,,,,
Sara Munnincx,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jan van der Straten,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan van der Straten II,,,Male,,,,,,,,,,,,,,,,,,,,,,
Maria van der Straten,,,Female,,,,,,,,,,,,,,,,,,,,,,
Cornelis van Lockhorst,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan Fransz. Van der Straten,,,Male,,,,,,,,,,,,,,,,,,,,,,
Abraham de Marees den Oude,Merchant,M,Male,,1631,1632/05/27,Francois Venant I,,,Jacob Westfrisius,Death,Calvinist,,62,Y,300,48,Y,,Y,Y,,,,
Jan de Marez I,Lace Worker,,Male,,,,,,,,,,,,,,,,,,,,,,
Maria Gemaert,,M,Female,,,,,,,,,,,,,,,,,,,,,,
Jean Gemaert,,M,Male,,,,,,,,,,,,,,,,,,,,,,
Maria Sturms,,M,Female,,,,,,,,,,,,,,,,,,,,,,
Jan Baptista de Wael,Merchant,,Male,,,,,,,,,,,,,,,,,,,,,,
Daniel de Marez,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jenne Hurter,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jan Danielsz. De Marez,,,Male,,,,,,,,,,,,,,,,,,,,,,
Christina Segers,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jasper Segers,,,Male,,,,,,,,,,,,,,,,,,,,,,
Elisabeth de Schilder,,,Female,,,,,,,,,,,,,,,,,,,,,,
Elisabeth Cobbaut,,,Female,,,,,,,,,,,,,,,,,,,,,,
Pieter de Schilder,,,Male,,,,,,,,,,,,,,,,,,,,,,
Nicolaes de Marees,,,Male,,,,,,,,,,,,,,,,,,,,,,
Sara de Marees,,,Female,,,,,,,,,,,,,,,,,,,,,,
Abraham de Marez II,,,Male,,,,,,,,,,,,,,,,,,,,,,
Sara de Coster,,,Female,,,,,,,,,,,,,,,,,,,,,,
Rebecca Hooghkamer,,,Female,,,,,,,,,,,,,,,,,,,,,,
Abraham de Marez III,,,Male,,,,,,,,,,,,,,,,,,,,,,
Catharina de Marees II,,,Female,,,,,,,,,,,,,,,,,,,,,,
Catharina de Marees I,,,Female,,,,,,,,,,,,,,,,,,,,,,
Elisabeth de Marees,,,Female,,,,,,,,,,,,,,,,,,,,,,
Anna de Marees,,,Female,,,,,,,,,,,,,,,,,,,,,,
Maria de Marees,,,Female,,,,,,,,,,,,,,,,,,,,,,
Isaack de Marees Abrahamsz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Thomas van Roeye,,,Male,,,,,,,,,,,,,,,,,,,,,,
Johannes de Marees Abrahamsz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter de Bary,,,Male,,,,,,,,,,,,,,,,,,,,,,
Marija de Marees II,,,Female,,,,,,,,,,,,,,,,,,,,,,
Sara de Barij,,,Female,,,,,,,,,,,,,,,,,,,,,,
Daniel Mits I,,,Male,,,,,,,,,,,,,,,,,,,,,,
Samuel Mits,,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter Benoijt,,,Male,,,,,,,,,,,,,,,,,,,,,,
Tieleman van Beringen,,,Male,,,,,,,,,,,,,,,,,,,,,,
Anthoni Verspreet,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan de Barij,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jacob Pieterson Hoochkamer,,,Male,,,,,,,,,,,,,,,,,,,,,,
Maria van Vickervoort,,,Female,,,,,,,,,,,,,,,,,,,,,,
