Name,Historical Significance,Marital Status,Sex,Birthdate,Deathdate,Date of Appraisal ,Appraiser 1,Appraiser 2,Appraiser 3,Notary,Inventory Purpose,Religion,Nationality,Number of Items,Montias INVNO,Montias INVNO 2,Number of Paintings,Portraits,Rembrandt,Mythology,Still Life,Tapestry,Rariteiten,Textiles,Rubens
Jacob de Conincx,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Philips de Conincx (Coning),Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Daniel de Coning II,Diamond Polisher,,Male,,,,,,,,,,,,,,,,,,,,,,
David de Conincx,Merchant,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter de Coning II,Merchant,,Male,,,,,,,,,,,,,,,,,,,,,,
Abraham Furnerius,Artist,,Male,1628,1654,,,,,,,,,,,,,,,,,,,,
Rembrandt van Rijn,Artist,,Male,1606,1669,,,,,,,,,,,,,,,,,,,,
Abraham Stoffels,,,Male,,,,,,,,,,,,,,,,,,,,,,
Barend Jansz. Verbeeck,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Jannetje de Coning,,,Female,,,,,,,,,,,,,,,,,,,,,,
Maria de Coning,,,Female,,,,,,,,,,,,,,,,,,,,,,
Hans van Beusecom,,,Male,,,,,,,,,,,,,,,,,,,,,,
Salomon de Koninck,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Anneken de Moor,,,Female,,,,,,,,,,,,,,,,,,,,,,
Bernard de Moor,,,Male,,,,,,,,,,,,,,,,,,,,,,
Clara van Capelle,,,Female,,,,,,,,,,,,,,,,,,,,,,
David de Moor,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jacob Valckenier,,,Male,,,,,,,,,,,,,,,,,,,,,,
Joris Jorisz. (Backer),Alderman,,Male,,,,,,,,,,,,,,,,,,,,,,
Maillaert Brest,,,Male,,,,,,,,,,,,,,,,,,,,,,
Cornelia Tambaert,,,Female,,,,,,,,,,,,,,,,,,,,,,
Francoys Strick,,,Male,,,,,,,,,,,,,,,,,,,,,,
David Questier,,,Male,,,,,,,,,,,,,,,,,,,,,,
Salomon Davidsz. Questier,Pumpmaker,,Male,,,,,,,,,,,,,,,,,,,,,,
Petronella Questier,,,Female,,,,,,,,,,,,,,,,,,,,,,
Philips Vingboons,Architect,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan Colijn (Colyn) II,,,Male,,,,,,,,,,,,,,,,,,,,,,
Anthoni Gaillard de Jonge,Collector,M,Male,1590,1639,1639/12/21,,,,Willem Hasen,Death,Reformed,,182,Y,79,151,Y,Y,Y,Y,,,Y,
Anthony (Gaillaert) Gaillard de Oude,,M,Male,,,,,,,,,,,,,,,,,,,,,,
Maaike (Mayke) Abeels,,M,Female,,,,,,,,,,,,,,,,,,,,,,
Anthony Gaillard III,,,Male,,,,,,,,,,,,,,,,,,,,,,
Anthonij Galjaert (I),,,Male,,,,,,,,,,,,,,,,,,,,,,
Grietje Abeels,,,Female,,,,,,,,,,,,,,,,,,,,,,
Steven Gaillard,,,Male,,,,,,,,,,,,,,,,,,,,,,
Nikolaes Abeels,,,Male,,,,,,,,,,,,,,,,,,,,,,
Josijntje Bincken (Bencken),,,Female,,,,,,,,,,,,,,,,,,,,,,
Jonas Abeels,,,Male,,,,,,,,,,,,,,,,,,,,,,
Anna Rueland,,,Female,,,,,,,,,,,,,,,,,,,,,,
Nicolas Coques,,,Male,,,,,,,,,,,,,,,,,,,,,,
Govert Gaillard,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan de Marees Danielsz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Joan Gaillard,,,Male,,,,,,,,,,,,,,,,,,,,,,
Elsje Michiels,,M,Female,1557,1603,1607/05/04,,,,Gerrit Jacobsz. Haringh,Auction,,,26,Y,758,26,,,,Y,,,,
Jan Colijn I,Glovemaker,M,Male,1548,1603,1607/05/04,,,,Gerrit Jacobsz. Haringh,Auction,,,26,Y,758,26,,,,Y,,,,
Claes Colijn,,,Male,1580,,,,,,,,,,,,,,,,,,,,,
Niesgen Colijn,,,Female,1586,,,,,,,,,,,,,,,,,,,,,
Cornelis Benninck Jansz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Aefje Cornelis Boschamer (Bolhamer?),,,Female,,,,,,,,,,,,,,,,,,,,,,
Heyndrick Colijn II,,,Male,,,,,,,,,,,,,,,,,,,,,,
Emanuel Colijn,,,Male,1595,,,,,,,,,,,,,,,,,,,,,
Lysbeth (Elisabeth?) Colijn,,,Female,1599,,,,,,,,,,,,,,,,,,,,,
Amelis Vortkamp,,,Male,,,,,,,,,,,,,,,,,,,,,,
Heyndrick Colijn I, ,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter Michielsz. Colijn,,,Male,,,,,,,,,,,,,,,,,,,,,,
Rombout Jacobsz. de Oude,,,Male,,,,,,,,,,,,,,,,,,,,,,
Nicolas Colijn,,,Male,,,,,,,,,,,,,,,,,,,,,,
Matheus (Matthijs) Luls,,,Male,,,,,,,,,,,,,,,,,,,,,,
Aeltien Gerrits,Baker,W,Female,1590,1636,1636/12/04,,,,Palm Mathijs,Death,Roman Catholic,,31,Y,87,14,Y,,,,,,,
Dirck Harmenss,,,Male,,,,,,,,,,,,,,,,,,,,,,
Gerrit Jansz. Lambrinck,,M,Male,,,,,,,,,,,,,,,,,,,,,,
Marten Codde,,,Male,,,,,,,,,,,,,,,,,,,,,,
Roeloff Codde,,,Male,,,,,,,,,,,,,,,,,,,,,,
